# time(ps) Nwater Force (pN) Pressure Dif (atm) 
10 157 3273.1203 7052.7283207191285
20 159 3314.8161 7142.571993594531
30 165 3439.9035 7412.10301222074
40 167 3481.5993 7501.946685096143
50 164 3419.0555999999997 7367.181175783037
60 163 3398.2077 7322.259339345337
70 160 3335.6639999999998 7187.493830032232
80 160 3335.6639999999998 7187.493830032232
90 161 3356.5119 7232.415666469934
100 161 3356.5119 7232.415666469934
110 157 3273.1203 7052.7283207191285
120 168 3502.4472 7546.868521533845
130 167 3481.5993 7501.946685096143
140 160 3335.6639999999998 7187.493830032232
150 164 3419.0555999999997 7367.181175783037
160 169 3523.2951 7591.790357971545
170 161 3356.5119 7232.415666469934
180 156 3252.2724 7007.8064842814265
190 160 3335.6639999999998 7187.493830032232
200 163 3398.2077 7322.259339345337
210 162 3377.3597999999997 7277.337502907635
220 165 3439.9035 7412.10301222074
230 163 3398.2077 7322.259339345337
240 167 3481.5993 7501.946685096143
250 169 3523.2951 7591.790357971545
260 162 3377.3597999999997 7277.337502907635
270 166 3460.7513999999996 7457.0248486584405
280 159 3314.8161 7142.571993594531
290 160 3335.6639999999998 7187.493830032232
300 165 3439.9035 7412.10301222074
310 163 3398.2077 7322.259339345337
320 170 3544.143 7636.712194409248
330 161 3356.5119 7232.415666469934
340 170 3544.143 7636.712194409248
350 162 3377.3597999999997 7277.337502907635
360 167 3481.5993 7501.946685096143
370 157 3273.1203 7052.7283207191285
380 164 3419.0555999999997 7367.181175783037
390 154 3210.5766 6917.962811406023
400 158 3293.9682 7097.65015715683
410 162 3377.3597999999997 7277.337502907635
420 157 3273.1203 7052.7283207191285
430 158 3293.9682 7097.65015715683
440 161 3356.5119 7232.415666469934
450 164 3419.0555999999997 7367.181175783037
460 166 3460.7513999999996 7457.0248486584405
470 166 3460.7513999999996 7457.0248486584405
480 160 3335.6639999999998 7187.493830032232
490 164 3419.0555999999997 7367.181175783037
500 157 3273.1203 7052.7283207191285
510 163 3398.2077 7322.259339345337
520 160 3335.6639999999998 7187.493830032232
530 163 3398.2077 7322.259339345337
540 165 3439.9035 7412.10301222074
550 156 3252.2724 7007.8064842814265
560 156 3252.2724 7007.8064842814265
570 155 3231.4245 6962.884647843725
580 162 3377.3597999999997 7277.337502907635
590 161 3356.5119 7232.415666469934
600 161 3356.5119 7232.415666469934
