ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5550.5621       338.0738         0.0000         0.0000       946.8302          -4265.6581       300.7996     -5212.4883     -4264.6586       298.2233           -670.6227      -658.9041     22505.1184      -242.8952      -243.0262
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5527.8521       360.8456         0.0000         0.0000       927.8007          -4239.2058       294.7541     -5167.0065     -4237.2200       299.9112           -514.0605      -490.1965     22721.7950      -259.9639      -260.0231
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5568.8048       364.4225         0.0000         0.0000       937.6380          -4266.7443       297.8794     -5204.3822     -4265.2165       302.6755           -426.8046      -406.7018     22815.5788      -248.9072      -249.0386
ENERGY:  260000         0.0000         0.0000         0.0000         0.0000          -5650.1234       428.7562         0.0000         0.0000       998.8999          -4222.4673       317.3417     -5221.3672     -4218.6813       298.7720            312.1598       340.2581     22602.5400      -284.1204      -284.1725
ENERGY:  265000         0.0000         0.0000         0.0000         0.0000          -5589.4762       383.1954         0.0000         0.0000       945.5535          -4260.7273       300.3940     -5206.2808     -4258.3281       299.4129           -665.2957      -633.1681     22759.6012      -239.2759      -239.2089
ENERGY:  270000         0.0000         0.0000         0.0000         0.0000          -5622.7940       423.6142         0.0000         0.0000       901.2943          -4297.8856       286.3333     -5199.1799     -4295.2619       299.5086            567.5537       592.6813     22550.9971      -296.0440      -295.8863
ENERGY:  275000         0.0000         0.0000         0.0000         0.0000          -5641.2844       393.8081         0.0000         0.0000       913.8041          -4333.6722       290.3075     -5247.4763     -4333.2623       294.8863           -125.5628      -101.7172     22549.8778      -249.5412      -249.7814
ENERGY:  280000         0.0000         0.0000         0.0000         0.0000          -5591.5126       401.0911         0.0000         0.0000       931.1674          -4259.2541       295.8237     -5190.4215     -4256.3553       300.4014           -487.2538      -462.0090     22978.6848      -218.8828      -218.7582
ENERGY:  285000         0.0000         0.0000         0.0000         0.0000          -5656.9180       436.4868         0.0000         0.0000       918.7973          -4301.6339       291.8938     -5220.4313     -4298.8517       297.5745            675.8707       700.6063     22326.1719      -252.9583      -253.0024
ENERGY:  290000         0.0000         0.0000         0.0000         0.0000          -5593.5182       358.6121         0.0000         0.0000       952.4331          -4282.4730       302.5796     -5234.9062     -4279.9021       300.6241           -392.5851      -363.1582     22493.3911      -199.3258      -199.3124
ENERGY:  295000         0.0000         0.0000         0.0000         0.0000          -5623.5279       374.9641         0.0000         0.0000       926.7694          -4321.7944       294.4265     -5248.5638     -4319.5753       293.8966           -460.8794      -435.7927     22624.3387      -271.4569      -271.5342
ENERGY:  300000         0.0000         0.0000         0.0000         0.0000          -5625.5909       379.7700         0.0000         0.0000       929.9761          -4315.8448       295.4452     -5245.8209     -4313.0134       294.0135             48.3430        70.0522     22524.1741      -163.9855      -163.8855
ENERGY:  305000         0.0000         0.0000         0.0000         0.0000          -5677.6938       435.8868         0.0000         0.0000       968.7403          -4273.0667       307.7603     -5241.8069     -4271.3966       296.6000            494.4291       523.6229     22586.0273      -231.8236      -231.9000
ENERGY:  310000         0.0000         0.0000         0.0000         0.0000          -5602.9700       374.0302         0.0000         0.0000       932.7900          -4296.1498       296.3392     -5228.9398     -4294.1268       302.4716           -623.8400      -600.6170     22770.0572      -251.6779      -251.7409
ENERGY:  315000         0.0000         0.0000         0.0000         0.0000          -5504.0962       335.7145         0.0000         0.0000       939.9993          -4228.3823       298.6295     -5168.3817     -4226.3491       300.3449           -984.6090      -958.3452     22759.9278      -203.9426      -203.8951
ENERGY:  320000         0.0000         0.0000         0.0000         0.0000          -5548.2819       402.7152         0.0000         0.0000       979.8421          -4165.7246       311.2872     -5145.5667     -4164.1131       301.0312             84.9833       108.1200     22794.9300      -249.1971      -248.9684
ENERGY:  325000         0.0000         0.0000         0.0000         0.0000          -5604.3306       405.2506         0.0000         0.0000       936.2905          -4262.7895       297.4513     -5199.0799     -4261.8918       303.9565            140.5731       169.3248     22460.8136      -165.6879      -165.6194
ENERGY:  330000         0.0000         0.0000         0.0000         0.0000          -5561.2396       347.1820         0.0000         0.0000       938.3860          -4275.6716       298.1170     -5214.0576     -4273.6519       298.0433           -889.1796      -874.8127     22758.3601      -261.1509      -260.9914
ENERGY:  335000         0.0000         0.0000         0.0000         0.0000          -5550.5668       389.9931         0.0000         0.0000       977.6677          -4182.9059       310.5964     -5160.5736     -4180.3586       297.8765            141.0450       166.0841     22694.6394      -143.5765      -143.4323
ENERGY:  340000         0.0000         0.0000         0.0000         0.0000          -5617.4968       370.7443         0.0000         0.0000       880.3563          -4366.3962       279.6815     -5246.7525     -4364.0964       298.4075            110.7188       108.1272     22104.7932      -217.8062      -217.8244
ENERGY:  345000         0.0000         0.0000         0.0000         0.0000          -5538.4273       358.0881         0.0000         0.0000       915.2338          -4265.1054       290.7617     -5180.3392     -4263.2715       296.1381           -621.8663      -596.0730     22782.2027      -182.8301      -182.8358
ENERGY:  350000         0.0000         0.0000         0.0000         0.0000          -5582.9671       417.1334         0.0000         0.0000       947.8385          -4217.9952       301.1200     -5165.8337     -4217.0775       296.8371            124.9540       152.2642     22674.4544      -228.3747      -228.5639
ENERGY:  355000         0.0000         0.0000         0.0000         0.0000          -5557.1172       389.9542         0.0000         0.0000       928.7139          -4238.4491       295.0443     -5167.1630     -4237.2387       303.7427            388.3486       416.2433     22376.5906      -191.0789      -190.9881
